name,title,url,is_ad,pricing_unit,price,real_price,rating

,Skip to,,false,$,19.95,197,4.2
B0CTQDMHBH,"[New] VTech VG131-11 DECT 6.0 Cordless Phone - Bluetooth Connection, Blue-White Display, Big Buttons, Full Duplex, Caller ID, Easy Wall Mount, 1000ft Range (Black)",,false,$,19.95,19.95,4.2
B08VLMQ3KS,"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",,false,$,197,359,4
B0CRWKNP7S,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Silver,,false,$,89.21,89.21,4.3
B01KLNIT0S,Panasonic Expandable Cordless Phone System with Amber Backlit Display – 2 Handsets – KX-TGC352B (Black),,false,$,34.76,49.99,4.4
B0CTW6L4R5,Simple Mobile | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,,false,$,39.88,49.99,4.1
B0D9927L49,Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 4/128GB | 50 MPCamera | Mineral Black,,false,$,134.99,134.99,4.2
B0CMPLN52T,"Apple iPhone 15, 128GB, Pink - Unlocked (Renewed)",,false,$,517.5,583.2,4.3
B09V5LDZQ4,"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",,false,$,224.18,249,4
B0DP3F8GK1,"SAMSUNG Galaxy S25 Ultra Cell Phone, 512GB,AI Smartphone, Unlocked Android, AI Camera, Fast Processor, Long Battery Life, 2025, US 1 Yr Manufacturer Warranty, Titanium Silverblue",,false,$,1194.99,1419.99,4.4
B0DNGLB3NF,"CB68 Unlocked Smartphone, 6.74” HD+ Display, 4G LTE Volte, Android 14, UNISOC SC9863 Octa-Core, 3GB RAM + 16GB Storage (Expandable up to 128GB), 4000mAh Battery, Dual SIM, Type-C",,false,$,49.99,49.99,3
B092NTYZ78,"Panasonic Compact Cordless Phone with DECT 6.0, 1.6"" Amber LCD and Illuminated HS Keypad, Call Block, Caller ID, Multiple Display Languages - 1 Handset - KX-TGB810S (Black/Silver)",,false,$,24.99,24.99,4.2
B09VD33WHW,"SAMSUNG Galaxy S22 Ultra 5G, US Version, 128GB, Black - Unlocked (Renewed)",,false,$,371.99,371.99,3.7
B0D873P9N4,"VTech Cordless Phone 2-Handset with Large Display and Big Buttons, DECT 6.0 with Caller ID/Call Waiting, Full Duplex Speakerphone, ECO Mode, Last 10 Number Redial, Easy to Use,VG231-2",,false,$,34.95,38.95,4.4
B0CYQ916ZY,"Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB",,false,$,399,499,4.3
B07ZPKN6YR,"Apple iPhone 11, 64GB, Black - Unlocked (Renewed)",,false,$,203,222.6,4.2
B08PNN2SKF,"Apple iPhone 12 Mini, 64GB, Blue - Unlocked (Renewed)",,false,$,193.4,216,4
B0CTW8TXGH,Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue,,false,$,39.88,49.99,4.3
B0CRSLXF34,"SAMSUNG Galaxy A05 (128GB, 4GB) 6.7"" Dual SIM GSM Unlocked Global 4G LTE A055M/DS (Light Green)",,false,$,102,102,3.9
B086QCGQ8C,"AT&T BL102-3 DECT 6.0 3-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Audio Assist, Intercom, and Unsurpassed Range, Silver/Black",,false,$,64.99,78.95,4.2
B0DD8HL23R,BLU G44 | 2024 | All-Day Battery | Unlocked | 6.8” HD+ Infinity Display | 64GB | Triple 13MP Camera | US Warranty| Blue,,false,$,69.99,69.99,3.7
B0CWHXVLXG,Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,,false,$,149.99,185.3,4.2
B0BZG14KFJ,"Panasonic Cordless Phone with Answering Machine, Advanced Call Block, Bilingual Caller ID and Easy to Read High-Contrast Display, Expandable System with 2 Handsets - KX-TGD832M (Metallic Black)",,false,$,59.99,59.99,4.3
B09SM24S8C,"Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)",,false,$,73.24,73.24,3.8
B0BN71VW28,"Apple iPhone 14, 128GB, Purple - Unlocked (Renewed)",,false,$,352.52,410.4,4.1
B0DJ9KYK9G,J24 | 2024 | All-Day Battery | GSM Unlocked | 6.5” Display | 3/32GB | 3000mAh | US Version | US Warranty | Black,,false,$,49.99,49.99,3.4
B0BN96CCM6,"Apple iPhone 14 Pro, 256GB, Space Black - Unlocked (Renewed)",,false,$,519.95,519.95,4
B09LNP1ZHT,"Apple iPhone 13, 128GB, Pink - Unlocked (Renewed)",,false,$,301.05,325.32,4
B0DLHNWHRF,"SAMSUNG Galaxy A16 5G A Series Cell Phone, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, US Version, 2025, Blue Black",,false,$,174.99,199.99,4.2
B096T6Y623,"Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)",,false,$,251,269,3.8
B0D1ZFS9GH,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,,false,$,245.15,399.99,4.6
B0CP6DDN1H,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue,,false,$,109.99,149.99,4
B08PP5MSVB,"Apple iPhone 12, 64GB, Black - Fully Unlocked (Renewed)",,false,$,205.86,253.8,4.1
B088NQXD8T,"Apple iPhone SE 2nd Generation, US Version, 64GB, Black - Unlocked (Renewed)",,false,$,109,156.86,4.2
B0BTMRRKG7,"Panasonic Cordless Phone with Advanced Call Block, One-Ring Scam Alert, and 2-Way Recording with Answering Machine, 4 Handsets - KX-TGF944B (Black)",,false,$,127.45,149.99,4.3
B0BN92S2ZZ,"Apple iPhone 14 Pro Max, 256GB, Deep Purple - Unlocked (Renewed)",,false,$,609.99,669.6,4
B08FXRTYPH,"$30/mo. Mint Mobile Phone Plan with Unlimited Talk, Text & Data for 3 Months (3-in-1 SIM Card)",,false,$,81,90,4.2
B0DPM3K2SX,"DOOGEE S118 Pro (2025) Rugged Smartphone 5G,10800mAh(33W) 24GB+512GB/2TB Rugged Phone,DDR5,108MP+20MP Night Vision,6.6''FHD+120Hz Rugged Unlocked Cell Phone,Dual SIM/Dual Unlock/NFC/GPS/OTG/WiFi 6",,false,$,359.99,359.99,4.5
B0D94D168H,"DOOGEE Blade 10 Ultra Rugged Phone Unlocked,20GB RAM+256GB ROM Android 14 System Rugged Smartphone,6.56''90Hz Display,50MP Camera,5150mAh Battery,IP68/IP69K Waterproof Phones, Face ID/NFC/GPS/OTG",,false,$,189.99,279.99,4.3
B0DSHR7Q9B,"I16 PROMAX 5G Phone,Smartphone Unlocked Cell Phone 12GB+512GB/6.99“ HD Screen Display/68MP+108MP Camera/7000 mAh, Dual SIM Card/Face Unlock/Fingerprint Button Unlock-and take Photos (Yellow)",,false,$,199.99,199.99,4.7
B0DFGVLPF5,"A15 Pro Max Cell Phones,Android 14.0 Unlocked Phone,8+256GB Smartphone,Support Dual SIM Dual Standby Face Recognition 6800mAh Ultra Long Life Battery-Black",,false,$,169.99,169.99,5
B08PNJL9JK,"Apple iPhone 12 Pro 5G, US Version, 512GB, Graphite - Unlocked (Renewed)",,false,$,343,388.8,4.1
B09LPF7KC7,"Apple iPhone 13 Pro Max, 256GB, Graphite - Unlocked (Renewed)",,false,$,525,550.8,4.1
B097C3TS3Q,"SAMSUNG Galaxy A42 5G, Factory Unlocked, US Version, 128GB, Black (Renewed)",,false,$,103.45,129,4
B01A9KBCQG,"VTech CS6529-4B 4-Handset DECT 6.0 Cordless Phone with Answering System and Caller ID, Expandable up to 5 Handsets, Wall-Mountable, Blue/Green/Red/Silver",,false,$,89.95,98.95,4.2
B0DCLD9PLY,"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, Brighter Display Screen, US Version, 2024, US 1 Yr Manufacturer Warranty, Gray",,false,$,549.99,649.99,4.5
B0DFHRH11D,Tracfone| TCL FLIP 3 | Locked| 13GB | 1850mAh Battery |5MP Video Capable Camera| Stone Gray,,false,$,29.99,29.99,3.7
B0C7LNLS9P,"TracFone Moto g Pure (2021), 32GB, Blue - Prepaid Smartphone (Locked/Renewed)",,false,$,24.99,53.02,4.2
B0C2S6TKTL,"Motorola Moto G Stylus 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Cosmic Black, 162.83x73.77x9.29",,false,$,209.99,399.99,4.2
B00FRSYS12,"VTech CS6719-2 2-Handset Cordless Phone with Caller ID/Call Waiting, Handset Intercom & Backlit Display/Keypad, Silver",,false,$,42.44,42.44,4.4
B0D5PFR7DK,Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Scarlet Wave,,false,$,249.99,294.86,4.5
B0DHLLJGYP,"SAMSUNG Galaxy S24 FE 5G Dual SIM (256GB, 8GB) 6.7"" AMOLED 120Hz, 10-Core Processor (International Factory Unlocked for US, Verizon & Global 5G) S721B/DS (Fast Wireless Charger Bundle, Graphite)",,false,$,539.99,539.99,4.6
B01H1E3EAA,"AT&T TRIMLINE 213 Corded Home Phone with Extra Big Buttons & Visual Ringer. No AC Power Required, Improved Easy-Wall-Mount, Lighted Keypad, 10 Speed Dial Keys, Volume Control, Senior Friendly. White",,false,$,19,19.95,4.3
B0DKB1CPQY,Moto G Stylus 5G | 2023 | Unlocked | Made for US 4/128GB | 50MP Camera | Cosmic Black,,false,$,139.99,139.99,4.2
B0BRBRLVV9,"SAMSUNG Galaxy S22+ Plus 5G, US Version, 128GB, Black - AT&T (Renewed)",,false,$,269,269,4.2
B0D18SMB1X,"SAMSUNG Galaxy Z Fold 6 AI Cell Phone, 512GB Unlocked Android Smartphone, Circle to Search, Handsfree Live Interpreter, AI Photo Edits, Large Screen, 2024,US 1 Yr Manufacturer Warranty, Silver Shadow",,false,$,1699,2019.99,4.3
B08HKRVZ4W,"Samsung Galaxy Note 20 5G (128GB, 8GB) 6.7"" AMOLED+, Snapdragon 865, Global 5G VoLTE (Fully Unlocked for AT&T, Verizon, Sprint, Metro) N981U (Mystic Bronze) (Renewed)",,false,$,229.99,229.99,4.1
B09T3MQSVP,"Samsung Galaxy A13 5G Cell Phone, AT&T GSM Unlocked Android Smartphone, 64GB, Long Lasting Battery, Expandable Storage, Triple Lens Camera, Infinite Display, Black (Renewed)",,false,$,86.5,86.5,3.9
B0CCSZZGT7,TracFone | Motorola Moto g Play | Locked | 32GB | 5000mAh Battery | 16MP Triple Camera System | 6.5 inches 90Hz HD+ Display | Black,,false,$,69.76,69.76,4
B0CRWT7WF1,Samsung Galaxy A05 A055M 64GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Black,,false,$,94.61,118.97,4.2
B0CMZDBVWT,"Apple iPhone 15 Pro Max, 256GB, Blue Titanium - Unlocked (Renewed)",,false,$,784.95,842.4,3.9
B07C4WX72D,"VTech SN5147 Amplified Corded/Cordless Senior Phone with Answering Machine, Call Blocking, 90dB Extra-Loud Visual Ringer, One-Touch Audio Assist on Handset up to 50dB, White",,false,$,104.17,109.95,4
B0CWWC2G6F,Nokia 110 4G | Dual SIM | GSM Unlocked Mobile Phone | Volte | Blue | International Version | Not AT&T/Cricket/Verizon Compatible,,false,$,48.66,48.66,3.5
B0DG6V6V39,HMD Barbie | Flip | Unlocked | KaiOS | Compatible with All Carriers | Power Pink | US Version,,false,$,99.99,129.99,4.3
B0991J62ZY,"Samsung Galaxy A12 (32GB, 3GB) 6.5"" HD+, Quad Camera, 5000mAh Battery, Global 4G Volte (AT&T Unlocked for T-Mobile, Verizon, Metro) A125U (Black) (Renewed)",,false,$,74,82.44,3.8
B0BL8HPF13,"Google Pixel 7 5G, US Version, 128GB, Obsidian - Unlocked (Renewed)",,false,$,204,599,4
B0D323V72S,Moto G Play | 2024 | Unlocked | Made for US 4/64GB | 50MP Camera | Sapphire Blue (Renewed),,false,$,74.99,109.99,3.6
B0CSGK59ZB,"Panasonic Corded/Cordless Phone with Advanced Call Block, 2-Way Recording and Digital Answering Machine, 2 Handsets Expandable up to 6 Cordless Handsets - KX-TGF852B (Black)",,false,$,99.99,99.99,4.2
B08L34NZDM,"Samsung Galaxy S20 FE 5G, 128GB, Cloud Mint - Single SIM - Unlocked (Renewed)",,false,$,159,159,3.9
B0BZG7N8LW,"Panasonic Cordless Phone with Answering Machine, Link2Cell Bluetooth, Voice Assistant and Advanced Call Blocking, Expandable System with 3 Handsets - KX-TGD863W (White)",,false,$,99.99,99.99,4.3
B09V1NGFN4,SAMSUNG Galaxy S22 128 GB Green (Renewed),,false,$,241.85,241.85,4
B09Q1J6JHG,Moto G Pure | 2021 | 2-Day battery | Unlocked | Made for US by Motorola | 3/32GB | 13MP Camera | Deep Indigo (Renewed),,false,$,63,63,3.8
B09SPXJKG7,"AT&T GL2101-2 DECT 6.0 2-Handset Cordless Home Phone with Call Block, Caller ID, Full-Duplex Handset Speakerphone, 2"" White Backlit Display, Lighted Keypad (Graphite & Black)",,false,$,33.56,39.95,4.3
B0CP4FMLBT,BLU C5L MAX | 2024 | All-Day Battery | GSM Unlocked | 5.7” Display | 16/2GB |US Version | US Warranty | Black,,false,$,49.9,49.9,3.6
B0BZK41SXZ,"Panasonic Cordless Phone with Advanced Call Block, Bilingual Caller ID and Easy to Read Large High-Contrast Display, Expandable System with 3 Handsets - KX-TGD813B (Black)",,false,$,79.51,79.51,4.2
B0D3RWZ39S,Nokia 2780 Flip | Unlocked | Universally Compatible with All Mobile Carriers | Black,,false,$,89.99,89.99,3.7
B0BHHJV7W9,"AT&T CL82507 DECT 6.0 5-Handset Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID Announcer, Intercom and Long Range, Silver (CL82507)",,false,$,108.17,119.95,4.3
B09Z8P34NM,"SAMSUNG Galaxy A13 LTE, Factory Unlocked Smartphone, Android Cell Phone, Water Resistant, 50MP Camera, US Version, 32GB, Black (Renewed)",,false,$,89.5,136.44,4.1
B088B1Y75K,"AT&T DL72219 DECT 6.0 2-Handset Cordless Phone for Home with Connect to Cell, Call Blocking, 1.8"" Backlit Screen, Big Buttons, intercom, and Unsurpassed Range",,false,$,43.99,49.95,4.2
B0CGWHHC69,"Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Cherry Blossom, 73.95 x 170.82 x 7.35mm",,false,$,349.99,349.99,3.9
B09LKWDMW8,"Apple iPhone 13 Mini, 256GB, Midnight - Unlocked (Renewed)",,false,$,338.26,338.26,4
B0DGPL4771,"NUU N10 Basic Cell Phone for T-Mobile, Mint, Metro, Qlink, Tello and More 4GB/128GB, Perfect for Teenagers, Dual SIM 4G, Octa-Core 6.6"" 90Hz HD+, Unlocked Phones Android Phone 14, US Warranty (Black)",,false,$,99.99,99.99,4
B09P147NYF,"VTech VG208 DECT 6.0 Corded/Cordless Phone for Home with Answering Machine, Call Blocking, Caller ID, Large Backlit Display, Duplex Speakerphone, Intercom, Line-Power(Silver/Black)",,false,$,47.05,54.95,4.2
B0DKPWQ1TK,TCL 40 XE 5G T609SPP Verizon Only 64GB Black(Renewed),,false,$,44.99,47.49,4.2
B08HJZDW6M,Samsung Galaxy Note 20 Ultra 5G Unlocked Android Cell Phone | US Version | 128GB | Mystic White (Renewed),,false,$,319.95,779.97,3.9
